Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
SOPHIA,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},No Auditing,,0
SOPHIA,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,,0
SOPHIA,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},No Auditing,,0
SOPHIA,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,,0
SOPHIA,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,,0
SOPHIA,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},No Auditing,,0
SOPHIA,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,,0
SOPHIA,,Option:CrashOnAuditFail,,Disabled,,0
SOPHIA,,Option:FullPrivilegeAuditing,,Disabled,,0
SOPHIA,,Option:AuditBaseObjects,,Disabled,,0
SOPHIA,,Option:AuditBaseDirectories,,Disabled,,0
SOPHIA,,FileGlobalSacl,,,,
SOPHIA,,RegistryGlobalSacl,,,,
